Throughput N=1 N=2 N=3 N=4 N=5
20 0.0788465 0.332087 0.94301 1.8398 3.34311
20.1 0.0788465 0.332087 0.94301 1.98804 3.34311
20.2 0.0788465 0.335097 0.94301 1.98804 3.34311
21.1 0.0788465 0.335097 1.02201 1.98804 3.34311
22 0.0788465 0.337491 1.02201 1.98804 3.5762
22.1 0.0788465 0.337491 1.02201 2.23044 3.5762
22.3 0.0808635 0.337491 1.02201 2.23044 3.5762
22.4 0.0807358 0.337491 1.09272 2.23044 3.5762
22.5 0.0807358 0.337491 1.11105 2.23044 3.5762
22.6 0.0807358 0.342568 1.11105 2.23044 3.5762
23.7 0.0807358 0.342568 1.18429 2.23044 3.5762
24.2 0.0807358 0.342568 1.18429 2.28897 3.94763
25.1 0.0807358 0.342568 1.23085 2.28897 3.94763
25.2 0.0807358 0.342568 1.23085 2.40284 3.94763
25.3 0.0807358 0.351992 1.23085 2.40284 3.94763
26.3 0.0826915 0.351992 1.23085 2.40284 3.94763
26.4 0.0826915 0.389017 1.23085 2.40284 3.94763
26.5 0.0826915 0.389017 1.23085 2.40284 4.24288
26.6 0.0826915 0.389017 1.26629 2.71369 4.24288
26.9 0.084907 0.389017 1.26629 2.71369 4.24288
28.2 0.084907 0.389017 1.31356 2.71369 4.24288
28.3 0.084907 0.463799 1.31356 2.71369 4.24288
29.2 0.084907 0.463799 1.31356 2.6561 4.54701
29.8 0.084907 0.463799 1.35997 2.6561 4.54701
30.9 0.0853373 0.463799 1.35997 2.6561 4.54701
31.5 0.0853373 0.463799 1.40465 2.6561 4.54701
31.7 0.0853373 0.570826 1.40465 2.6561 4.54701
32.1 0.0853373 0.570826 1.40465 2.83383 5.09674
32.2 0.085552 0.570826 1.40465 2.83383 5.09674
32.3 0.0848378 0.570826 1.40465 2.83383 5.09674
33.4 0.0848378 0.570826 1.49208 2.83383 5.09674
33.7 0.0848378 0.570826 1.48375 2.83383 5.09674
34.9 0.0856018 0.570826 1.48375 2.83383 5.09674
35.2 0.0856018 0.570826 1.48375 2.83383 11.0462
35.4 0.0856018 0.570826 1.48375 3.0288 11.0462
36.5 0.0864469 0.570826 1.48375 3.0288 11.0462
36.7 0.0864469 0.570826 1.55539 3.0288 11.0462
37.6 0.0873442 0.570826 1.55539 3.0288 11.0462
37.8 0.0873442 0.570826 1.55539 3.2045 11.0462
38 0.0873442 0.655757 1.55539 3.2045 11.0462
38.7 0.0879045 0.655757 1.55539 3.2045 6.70299
38.8 0.0879045 0.655757 1.55539 3.43911 6.70299
40.1 0.0879045 0.660901 1.55539 3.43911 6.70299
40.4 0.0879045 0.660901 1.65313 3.43911 6.70299
40.6 0.090892 0.660901 1.65313 3.43911 6.70299
42.5 0.090892 0.660901 1.65313 3.43911 7.72147
42.6 0.090892 0.660901 1.65313 3.61228 7.72147
43 0.0979697 0.660901 1.65313 3.61228 7.72147
43.7 0.0986813 0.660901 1.65313 3.61228 7.72147
44 0.0986813 0.711413 1.65313 3.61228 7.72147
44.3 0.0986813 0.711413 1.78921 3.61228 7.72147
46.3 0.115347 0.711413 1.78921 3.61228 7.72147
46.7 0.115347 0.711413 1.78921 3.61228 10.0614
46.8 0.115347 0.711413 1.78921 4.0746 10.0614
47.1 0.12255 0.711413 1.78921 4.0746 10.0614
48.3 0.12255 0.752626 1.78921 4.0746 10.0614
48.7 0.12255 0.752626 1.90572 4.0746 10.0614
50.4 0.12255 0.752626 2.00885 4.0746 10.0614
50.9 0.170629 0.752626 2.00885 4.0746 10.0614
51.3 0.170629 0.752626 2.00885 4.0746 13.7057
51.6 0.170629 0.752626 2.00885 4.9705 13.7057
53 0.170629 0.80259 2.00885 4.9705 13.7057
53.5 0.170629 0.80259 2.06954 4.9705 13.7057
54.7 0.170629 0.80259 2.06954 4.9705 372.781
54.8 0.19876 0.80259 2.06954 4.9705 372.781
55.6 0.202293 0.80259 2.06954 4.9705 372.781
55.9 0.202293 0.80259 2.06954 4.9705 34.4082
56.6 0.202293 0.80259 2.06954 5.96432 34.4082
57 0.202293 0.80259 2.06954 5.96432 353.153
57.4 0.202293 0.80259 2.06954 5.96432 426.77
58.1 0.202293 0.834755 2.06954 5.96432 182.245
58.2 0.202293 0.834755 2.06954 5.96432 330.212
58.3 0.202293 0.834755 2.06954 5.96432 290.496
58.5 0.202293 0.834755 2.06954 5.96432 313.67
58.7 0.202293 0.834755 2.39682 5.96432 313.67
59 0.210373 0.834755 2.39682 5.96432 313.67
62.8 0.210373 0.834755 2.39682 8.25138 313.67
63.6 0.215842 0.834755 2.39682 8.25138 313.67
63.7 0.215842 0.866163 2.39682 8.25138 313.67
64.4 0.215842 0.866163 2.56098 8.25138 313.67
66.5 0.217947 0.866163 2.56098 8.25138 313.67
69.9 0.217947 0.933719 2.56098 15.0129 313.67
70.9 0.217947 0.933719 3.07569 15.0129 313.67
75.3 0.217947 0.933719 3.07569 109.625 313.67
75.6 0.217947 0.933719 3.42697 109.625 313.67
76.5 0.217947 0.984641 3.42697 109.625 313.67
77.6 0.217947 0.984641 3.60653 109.625 313.67
79.5 0.225097 0.984641 3.60653 109.625 313.67
83.8 0.225097 1.08976 3.60653 109.625 313.67
85.2 0.225097 1.08976 4.64677 109.625 313.67
91.9 0.225097 1.19675 4.64677 109.625 313.67
93.7 0.225097 1.19675 7.30826 109.625 313.67
95.4 0.239629 1.19675 7.30826 109.625 313.67
100.8 0.239629 1.32669 7.30826 109.625 313.67
102.1 0.239629 1.32669 50.3756 109.625 313.67
103 0.239629 1.32669 155.59 109.625 313.67
110.6 0.239629 1.49679 155.59 109.625 313.67
111.1 0.261933 1.49679 155.59 109.625 313.67
121.2 0.261933 1.83129 155.59 109.625 313.67
121.7 0.269915 1.83129 155.59 109.625 313.67
132.5 0.269915 2.25983 155.59 109.625 313.67
133 0.286169 2.25983 155.59 109.625 313.67
144.1 0.286169 3.17356 155.59 109.625 313.67
144.8 0.303993 3.17356 155.59 109.625 313.67
158 0.303993 7.28886 155.59 109.625 313.67
158.9 0.330133 7.28886 155.59 109.625 313.67
159.8 0.330133 72.7213 155.59 109.625 313.67
160.1 0.330133 85.9383 155.59 109.625 313.67
160.2 0.330133 88.605 155.59 109.625 313.67
173.3 0.354773 88.605 155.59 109.625 313.67
190.7 0.395131 88.605 155.59 109.625 313.67
208 0.442882 88.605 155.59 109.625 313.67
228.8 0.514353 88.605 155.59 109.625 313.67
248.7 0.599377 88.605 155.59 109.625 313.67
272.4 0.74003 88.605 155.59 109.625 313.67
293.3 0.937419 88.605 155.59 109.625 313.67
317.7 1.34199 88.605 155.59 109.625 313.67
327.8 38.3908 88.605 155.59 109.625 313.67
