58.8	0.0140795
57.7	0.01209396
55.9	0.0159333
53.2	0.011518
51.3	0.0113661
48.5	0.0107953
46.7	0.0116964
42.5	0.0116145
38.7	0.0104136
35.2	0.0115557
32.1	0.0100012
29.2	0.00957062
26.5	0.0132046
24.2	0.0110747
22.0	0.00959397
20.0	0.0109228
18.2	0.00993583
16.6	0.0097883
15.1	0.00951189
13.7	0.00963656
12.5	0.00968523
11.4	0.00931161
10.3	0.0095064
9.4	0.00844051
7.6	0.008
6.3	0.00779844
5.3	0.00791937
4.4	0.00777202
3.7	0.00621762
3.1	0.00621891
2.5	0.00597015
2.1	0.00536673
1.9	0.004
1.3	0.00299401
0.9	0
0.6	0
0.4	0

