159.8	0.282433
160.1	0.210809
160.2	0.138757
159.8	0.0546255
158.0	0.00347997
144.1	0.00423963
132.5	0.0041853
121.2	0.00435532
110.6	0.00422289
100.8	0.00429395
91.9	0.00421592
83.8	0.00403463
76.5	0.00402285
69.9	0.00402065
63.7	0.00405728
58.1	0.00411576
53.0	0.00386986
48.3	0.00401196
44.0	0.00388467
40.1	0.00397577
38.0	0.0039996
31.7	0.00383969
26.4	0.00359971
22.0	0.00345304
18.4	0.00331194
15.3	0.00347653
12.8	0.00327771
10.6	0.00321543
8.9	0.00300043
7.4	0.00257069
6.3	0.00239952
4.2	0.00179856
2.8	0
1.9	0
1.3	0
